quater,rate
1982-01-01,6.8
1982-04-01,6.8
1982-07-01,6.9
1982-10-01,6.9
1983-01-01,7.0
1983-04-01,7.2
1983-07-01,7.2
1983-10-01,7.2
1984-01-01,7.6
1984-04-01,8.3
1984-07-01,8.8
1984-10-01,8.7
1985-01-01,8.5
1985-04-01,8.6
1985-07-01,9.1
1985-10-01,9.2
1986-01-01,9.0
1986-04-01,8.9
1986-07-01,8.9
1986-10-01,9.0
1987-01-01,9.1
1987-04-01,9.1
1987-07-01,9.0
1987-10-01,9.1
1988-01-01,9.0
1988-04-01,8.9
1988-07-01,8.7
1988-10-01,8.5
1989-01-01,8.3
1989-04-01,8.2
1989-07-01,8.2
1989-10-01,8.1
1990-01-01,8.0
1990-04-01,7.9
1990-07-01,7.9
1990-10-01,7.9
1991-01-01,8.0
1991-04-01,8.1
1991-07-01,8.1
1991-10-01,8.3
1992-01-01,8.7
1992-04-01,8.9
1992-07-01,9.2
1992-10-01,9.4
1993-01-01,9.6
1993-04-01,9.9
1993-07-01,10.2
1993-10-01,10.5
1994-01-01,10.7
1994-04-01,10.8
1994-07-01,10.6
1994-10-01,10.4
1995-01-01,10.1
1995-04-01,9.9
1995-07-01,10.0
1995-10-01,10.1
1996-01-01,10.3
1996-04-01,10.5
1996-07-01,10.7
1996-10-01,10.7
1997-01-01,10.8
1997-04-01,10.8
1997-07-01,10.7
1997-10-01,10.5
1998-01-01,10.3
1998-04-01,10.2
1998-07-01,10.3
1998-10-01,10.3
1999-01-01,10.3
1999-04-01,10.2
1999-07-01,9.9
1999-10-01,9.5
2000-01-01,9.0
2000-04-01,8.7
2000-07-01,8.3
2000-10-01,8.1
2001-01-01,7.9
2001-04-01,7.8
2001-07-01,7.7
2001-10-01,7.6
2002-01-01,7.8
2002-04-01,7.9
2002-07-01,7.9
2002-10-01,8.0
2003-01-01,8.3
2003-04-01,8.5
2003-07-01,8.4
2003-10-01,8.8
2004-01-01,8.9
2004-04-01,8.8
2004-07-01,8.9
2004-10-01,8.9
2005-01-01,8.7
2005-04-01,8.8
2005-07-01,9.0
2005-10-01,9.1
2006-01-01,9.1
2006-04-01,8.9
2006-07-01,8.9
2006-10-01,8.4
2007-01-01,8.4
2007-04-01,8.1
2007-07-01,8.0
2007-10-01,7.5
2008-01-01,7.1
2008-04-01,7.3
2008-07-01,7.4
2008-10-01,7.8
2009-01-01,8.6
2009-04-01,9.2
2009-07-01,9.2
2009-10-01,9.6
2010-01-01,9.4
2010-04-01,9.3
2010-07-01,9.3
2010-10-01,9.2
2011-01-01,9.1
2011-04-01,9.1
2011-07-01,9.2
2011-10-01,9.3
2012-01-01,9.5
2012-04-01,9.8
2012-07-01,9.9
2012-10-01,10.1
2013-01-01,10.4
2013-04-01,10.4
2013-07-01,10.5
2013-10-01,10.5
